PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
72,76,13,E,C,78,12,84,B,5,C,E
50,17,10,E,D,58,57,94,D,69,D,B
16,40,53,C,A,96,93,83,A,21,A,D
8,52,2,A,D,23,58,48,C,8,A,C
42,84,54,E,C,23,18,8,E,87,D,E
18,20,71,B,E,62,80,11,C,54,B,A
8,37,86,C,E,27,2,21,A,66,D,B
83,11,13,E,B,57,60,33,C,78,B,C
89,86,77,A,D,39,85,87,C,99,A,D
24,79,78,B,D,79,64,62,A,22,D,D
47,68,54,A,D,62,83,39,A,2,A,E
3,82,52,A,C,14,35,33,E,46,A,C
22,21,4,D,C,55,49,4,A,96,D,B
86,31,69,E,B,61,32,65,A,99,A,E
90,16,26,E,C,25,59,64,A,8,E,B
18,53,6,D,D,29,24,92,A,79,E,A
40,46,64,D,B,89,50,63,B,0,B,E
42,51,84,A,A,92,12,83,A,59,B,E
0,45,46,D,B,91,16,89,B,2,D,B
1,38,37,E,E,2,2,33,B,55,D,B
99,49,61,C,B,51,66,15,E,95,E,C
50,56,8,E,E,78,1,9,C,52,C,E
23,87,92,B,E,8,95,19,C,73,A,E
96,54,11,A,D,9,54,38,C,51,C,A
99,41,91,E,B,67,60,74,A,8,D,A
96,62,16,C,B,67,98,40,E,76,B,D
69,57,78,E,D,9,77,52,B,27,B,C
73,28,7,E,C,63,22,95,E,45,B,D
30,77,13,D,B,80,42,3,C,87,B,C
0,12,37,D,B,6,62,84,A,40,B,C
22,53,70,C,B,94,57,45,B,22,B,D
50,39,8,A,B,57,26,53,A,52,C,D
51,73,99,C,E,42,72,43,B,5,C,B
3,84,48,C,A,42,26,45,E,65,D,C
27,46,89,A,E,35,5,39,C,30,D,B
14,82,65,D,E,77,61,37,C,97,B,E
59,40,26,A,B,12,49,29,D,47,B,E
48,78,51,E,C,44,40,40,D,79,D,C
82,94,71,A,E,66,62,91,C,1,D,A
27,87,93,C,C,49,5,40,E,13,C,B
43,68,68,D,E,38,11,25,B,37,B,C
86,25,68,E,A,99,8,61,E,56,D,C
13,7,93,D,D,52,2,7,C,3,B,C
8,38,82,E,D,85,5,10,B,48,A,E
