flight_id,airline,source_city,destination_city,departure_time,stops,duration_hours,days_left,price
1,Indigo,Delhi,Mumbai,Morning,non-stop,2.5,15,5200
2,AirIndia,Mumbai,Bangalore,Evening,1-stop,5.0,10,6400
3,SpiceJet,Delhi,Chennai,Afternoon,1-stop,4.5,7,5900
4,Vistara,Kolkata,Delhi,Morning,non-stop,2.0,20,4500
5,Indigo,Bangalore,Mumbai,Night,2+-stop,7.5,5,7200
6,AirAsia,Delhi,Kolkata,Afternoon,non-stop,2.2,18,4100
7,GoAir,Mumbai,Chennai,Evening,1-stop,4.0,12,5600
8,Vistara,Chennai,Delhi,Morning,non-stop,2.8,25,4800
9,SpiceJet,Bangalore,Kolkata,Night,1-stop,5.5,9,6100
10,Indigo,Delhi,Bangalore,Afternoon,non-stop,2.6,30,5300
11,AirIndia,Kolkata,Mumbai,Morning,1-stop,4.8,6,6700
12,GoAir,Chennai,Bangalore,Evening,non-stop,1.5,22,3900
13,AirAsia,Mumbai,Delhi,Night,non-stop,2.4,14,5000
14,Vistara,Bangalore,Chennai,Afternoon,non-stop,1.2,19,3600
15,SpiceJet,Delhi,Kolkata,Evening,1-stop,3.5,8,5800
16,Indigo,Mumbai,Chennai,Morning,non-stop,2.1,27,4700
17,AirIndia,Delhi,Bangalore,Night,2+-stop,8.0,4,7500
18,GoAir,Kolkata,Chennai,Afternoon,1-stop,4.2,11,6200
19,AirAsia,Bangalore,Delhi,Evening,non-stop,2.7,16,5100
20,Vistara,Mumbai,Kolkata,Morning,non-stop,2.3,21,4900
21,SpiceJet,Chennai,Mumbai,Night,1-stop,5.1,13,6000
22,Indigo,Kolkata,Bangalore,Afternoon,non-stop,2.9,17,5200
23,AirIndia,Delhi,Chennai,Morning,1-stop,4.6,6,6900
24,GoAir,Mumbai,Delhi,Evening,non-stop,2.5,24,5300
25,AirAsia,Chennai,Kolkata,Night,1-stop,5.3,10,6100
26,Vistara,Bangalore,Mumbai,Morning,non-stop,1.8,26,4400
27,SpiceJet,Delhi,Mumbai,Afternoon,non-stop,2.4,29,5000
28,Indigo,Kolkata,Delhi,Evening,non-stop,2.2,23,4600
29,AirIndia,Mumbai,Bangalore,Night,1-stop,4.9,7,6800
30,GoAir,Delhi,Chennai,Morning,1-stop,4.4,12,5700
